order_item_id,order_id,product_id,quantity,selling_price,discount_percent
1,1,329,4,4969.01,10.08
2,1,1045,3,4011.07,6.34
3,1,1629,2,3053.13,14.68
4,1,1879,3,6004.2,7.37
5,2,281,1,5785.0,9.92
6,2,334,3,3869.26,17.5
7,2,11,3,2869.95,18.92
8,3,713,1,3138.26,25.01
9,3,1661,2,5589.55,18.24
10,3,1811,4,8696.43,17.05
11,4,1429,2,4009.22,14.15
12,4,172,3,2262.83,2.61
13,4,1900,5,4736.7,26.56
14,5,1911,5,3851.56,1.65
15,5,139,2,6870.94,19.54
16,6,1235,5,1103.57,5.11
17,6,318,2,4279.4,15.15
18,7,1702,3,1080.98,20.33
19,7,594,3,2515.42,25.77
20,7,329,2,5158.92,19.53
21,7,1351,1,3740.49,25.13
22,8,859,4,2871.34,13.41
23,8,1430,4,2728.13,19.46
24,8,261,1,4578.52,1.13
25,8,1002,1,4626.53,19.37
26,8,1382,5,244.85,21.6
27,9,181,2,2183.47,17.5
28,9,648,1,5873.36,22.19
29,10,712,3,3575.55,29.9
30,11,1342,2,561.66,4.21
31,12,555,5,7042.36,26.74
32,12,576,4,6551.96,14.83
33,12,792,3,5128.56,10.88
34,12,642,1,3591.48,6.97
35,13,689,3,1340.99,19.01
36,13,1363,1,8772.94,10.93
37,14,163,3,3664.84,17.13
38,15,923,3,4559.1,26.89
39,15,1407,3,906.7,28.7
40,15,760,2,1882.27,5.13
41,16,1340,2,3083.78,22.8
42,16,1151,1,340.25,21.18
43,16,863,1,3582.95,14.4
44,17,1587,5,3602.8,9.68
45,17,1217,4,627.41,26.15
46,17,1136,4,3699.88,5.93
47,18,1554,3,3997.93,2.99
48,18,1128,5,2060.97,25.93
49,19,107,5,5961.35,12.99
50,20,80,2,3569.83,26.86
51,20,866,4,4874.13,21.58
52,21,500,3,7743.09,19.77
53,21,157,5,4070.33,17.37
54,21,1126,3,7734.14,27.23
55,22,1835,1,7254.42,4.75
56,22,544,5,2391.47,16.08
57,22,1303,2,1713.83,23.73
58,22,707,1,2462.99,3.05
59,22,1592,5,8219.71,7.57
60,23,898,2,3841.43,24.4
61,23,1928,1,4969.58,19.92
62,23,1083,1,4835.43,14.53
63,23,1971,2,3589.31,20.88
64,24,29,1,1563.7,3.66
65,24,749,4,656.32,25.25
66,24,483,1,436.5,23.92
67,24,54,5,3302.25,11.11
68,25,1439,5,8402.72,5.77
69,25,1235,2,1161.36,15.53
70,25,1804,2,4692.46,3.12
71,25,586,4,710.04,17.48
72,26,566,5,3894.26,2.61
73,26,680,5,2484.05,3.42
74,26,656,2,6377.31,27.88
75,26,1344,1,2854.9,6.09
76,27,561,2,925.36,2.95
77,28,389,5,2863.6,26.33
78,29,1859,5,3573.45,19.1
79,30,1464,1,3934.93,6.77
80,30,1439,3,8431.9,18.56
81,30,1003,1,2914.27,14.32
82,30,321,1,710.6,29.32
83,31,1829,1,8155.6,29.16
84,32,1155,3,5742.63,7.66
85,32,552,4,5687.74,14.19
86,32,1094,1,7536.59,17.9
87,33,1014,2,2197.84,10.44
88,33,1672,4,4615.73,21.64
89,34,1934,5,4054.02,14.89
90,34,647,1,5247.88,16.61
91,34,256,1,859.39,5.07
92,34,57,2,2759.94,8.3
93,34,831,3,2502.62,14.29
94,35,1519,1,5439.6,4.2
95,36,355,2,210.81,14.97
96,36,707,3,2579.66,27.08
97,36,627,4,2543.18,28.69
98,36,115,1,2463.51,12.93
99,37,1004,3,2037.59,16.98
100,38,443,3,5644.27,15.66
101,38,1169,4,7271.59,22.67
102,38,917,5,3595.51,28.24
103,38,1402,4,1860.22,28.72
104,38,1170,1,6416.17,7.77
105,39,1755,2,2945.65,5.88
106,40,539,5,2272.16,26.71
107,40,1160,1,5251.18,24.69
108,41,542,2,511.85,9.85
109,41,1156,1,4412.98,18.04
110,41,657,3,3496.17,20.38
111,41,309,4,1153.68,13.76
112,42,48,3,1094.62,15.23
113,42,1202,2,291.92,8.0
114,43,245,5,8353.06,27.99
115,43,594,5,2784.79,1.77
116,43,794,1,1124.93,0.39
117,44,1449,4,6086.98,29.38
118,44,549,1,5329.83,3.82
119,44,441,2,3317.79,1.57
120,44,1380,5,1076.8,6.56
121,44,1067,3,1012.52,26.79
122,45,1733,3,3670.17,24.78
123,45,1461,4,4091.15,4.73
124,46,344,3,2718.47,25.27
125,46,1640,3,6924.27,6.97
126,46,252,4,1468.71,23.81
127,46,465,5,5002.56,23.11
128,46,1343,5,7001.74,11.78
129,47,1791,3,1448.18,21.7
130,47,1098,2,2111.5,17.55
131,47,1342,2,629.74,12.35
132,47,152,5,5538.63,3.24
133,47,1123,2,2171.63,20.77
134,48,1289,3,186.45,7.54
135,49,1134,5,2327.95,17.39
136,49,1407,4,984.57,15.63
137,49,1345,5,279.01,27.16
138,50,1510,2,4599.15,20.5
139,50,1547,1,5238.84,26.6
140,50,1342,2,595.5,0.54
141,50,1536,2,5353.38,2.6
142,50,1447,4,4492.48,19.11
143,51,1927,1,3210.79,6.27
144,51,841,1,4401.23,11.32
145,52,291,5,8620.18,8.67
146,52,478,1,7583.87,25.77
147,53,1035,2,3137.71,8.83
148,53,1701,1,4311.29,1.91
149,53,512,4,236.18,16.71
150,53,1406,3,3829.41,19.25
151,53,212,3,2126.87,26.46
152,54,968,1,2322.2,10.45
153,54,1320,4,989.58,25.57
154,54,20,2,590.31,12.19
155,54,862,5,1330.69,23.74
156,55,1316,4,3511.62,26.82
157,55,1153,5,6590.3,13.04
158,56,1180,1,3773.02,6.1
159,56,1920,3,6248.26,4.77
160,57,1475,5,4302.95,2.14
161,57,906,3,6870.03,11.34
162,58,1540,3,4858.56,16.0
