product_id,product_name,category,brand,price,cost_price,stock_quantity
1,Error Product,Home,Puma,4872.47,2977.85,423
2,Qui Product,Books,Adidas,5684.44,3712.6,96
3,Qui Product,Fashion,Apple,142.75,113.09,485
4,Voluptate Product,Fashion,LG,4853.99,4036.43,457
5,Odio Product,Electronics,Nike,116.84,101.21,271
6,Cum Product,Books,Sony,5668.64,4055.45,164
7,Error Product,Sports,Boat,3016.55,2551.84,203
8,Eveniet Product,Home,Puma,6205.63,3892.21,439
9,Incidunt Product,Sports,Adidas,3910.8,2657.73,499
10,Repellat Product,Home,Nike,1410.84,913.97,440
11,Sunt Product,Beauty,Puma,3160.01,2242.49,360
12,Ducimus Product,Beauty,Sony,1192.17,689.18,101
13,Fuga Product,Books,Sony,303.67,223.95,382
14,Voluptates Product,Fashion,Boat,3336.41,2177.98,201
15,Reiciendis Product,Electronics,Adidas,1586.21,977.13,236
16,Similique Product,Sports,Puma,2310.7,1868.86,178
17,Animi Product,Home,Samsung,762.13,561.13,320
18,Quas Product,Beauty,LG,2233.04,1437.84,213
19,Delectus Product,Home,Puma,500.17,315.2,330
20,Debitis Product,Electronics,LG,570.82,380.41,321
21,Distinctio Product,Books,Apple,4615.36,3197.98,29
22,Recusandae Product,Beauty,Nike,2921.58,1910.72,371
23,Doloremque Product,Fashion,Apple,6338.25,3707.36,224
24,Dolorem Product,Books,Samsung,4955.63,4186.92,170
25,Eum Product,Fashion,Samsung,855.39,577.63,180
26,Soluta Product,Home,Nike,7118.27,4202.64,473
27,Hic Product,Home,Samsung,7919.46,4932.72,491
28,Soluta Product,Beauty,Samsung,4669.8,3356.03,43
29,Impedit Product,Fashion,Puma,1707.06,1045.41,52
30,Illo Product,Sports,Adidas,1069.7,945.67,362
31,Repellat Product,Beauty,Samsung,3146.45,2576.78,169
32,Dolore Product,Home,LG,1939.43,1441.44,300
33,Et Product,Books,Apple,4869.55,4196.92,69
34,Doloribus Product,Electronics,Nike,5645.5,4598.25,172
35,Corrupti Product,Fashion,Samsung,5322.12,2996.63,121
36,Nesciunt Product,Beauty,Adidas,4588.06,3225.93,167
37,Illum Product,Fashion,Nike,6512.77,4202.81,168
38,Doloribus Product,Fashion,Puma,576.03,361.34,81
39,Eveniet Product,Fashion,Puma,3986.88,2868.7,462
40,Cumque Product,Home,LG,1921.55,1076.2,145
41,Voluptatum Product,Home,Sony,745.54,552.82,405
42,Ratione Product,Beauty,Nike,4590.86,3244.95,28
43,Unde Product,Fashion,Adidas,7175.94,4753.36,369
44,Impedit Product,Beauty,Puma,3455.02,2225.88,116
45,Nam Product,Sports,Puma,3158.85,1776.69,56
46,Fuga Product,Fashion,LG,3262.28,2615.04,143
47,Molestiae Product,Beauty,Nike,300.02,254.1,253
48,Minima Product,Home,Boat,1186.09,785.09,347
49,Eius Product,Beauty,Apple,3352.11,2983.11,332
50,Nobis Product,Fashion,Boat,3216.59,1858.53,253
51,Iusto Product,Electronics,Nike,2703.26,1740.09,477
52,Nisi Product,Sports,Nike,2250.88,1854.22,395
53,Beatae Product,Books,Boat,344.24,206.57,384
54,Mollitia Product,Home,Sony,3463.26,2056.73,317
55,Deserunt Product,Home,Samsung,2765.05,1755.6,485
56,Earum Product,Sports,Apple,7189.62,4399.42,225
57,Est Product,Sports,Boat,2817.91,2186.88,313
58,Fugit Product,Home,Adidas,349.93,239.92,497
59,Perspiciatis Product,Fashion,Sony,7911.76,4864.9,413
60,Delectus Product,Home,Nike,8546.66,4803.58,420
61,Adipisci Product,Books,Samsung,2473.31,1795.9,347
62,Et Product,Home,Puma,1413.47,822.71,51
63,Ad Product,Books,Apple,1708.1,1004.51,380
64,Esse Product,Home,Samsung,2051.81,1299.19,254
65,Facere Product,Sports,Boat,1030.39,880.72,367
66,Harum Product,Books,LG,1632.63,1141.21,371
67,Ratione Product,Books,Nike,2246.03,1289.44,172
68,Ut Product,Home,Puma,4581.63,3838.92,429
69,Sed Product,Sports,Boat,5827.71,3406.27,283
70,Sapiente Product,Beauty,Samsung,650.43,451.12,123
71,Reiciendis Product,Fashion,Sony,5436.96,4439.38,195
72,Distinctio Product,Sports,Boat,2959.06,1765.27,478
73,Voluptate Product,Books,Adidas,603.56,478.62,32
74,Laboriosam Product,Home,Boat,1594.48,1135.04,344
75,Unde Product,Home,Boat,1183.09,981.39,355
76,Est Product,Books,Nike,4637.22,4124.25,93
77,Voluptatum Product,Electronics,LG,2999.24,2051.26,422
78,Magnam Product,Electronics,Boat,797.93,504.94,421
79,Sequi Product,Fashion,Boat,4915.82,4053.89,361
